school,song_name,writers,year,student_writer,official_song,contest,bpm,sec_duration,nonsense,colors,opponents,spelling,spotify_id,lyrics
Alabama,Yea Alabama,Ethelred Lundy (Epp) Sykes,1926,Yes,Yes,Yes,153,59,No,Yes,Yes,No,1lkKK6lbsPYD6n5QZbiH1q,"Yea, Alabama! Drown 'em Tide!

Every 'Bama man's behind you,

Hit your stride.

Go teach the Bulldogs to behave,

Send the Yellow Jackets to a watery grave.

And if a man starts to weaken,

That's a shame!

For Bama's pluck and grit have

Writ her name in Crimson flame.

Fight on, fight on, fight on men!

Remember the Rose Bowl, we'll win then.

Go, roll to victory,

Hit your stride,

You're Dixie's football pride,

Crimson Tide, Roll Tide, Roll Tide!!"
Arizona,"Bear Down, Arizona",Jack K. Lee,1952,No,No,No,144,83,No,Yes,No,No,2ckfyC5awK1YD3kbOfCHeP,"Bear Down, Arizona

Bear Down, red and Blue

Bear Down, Arizona

Hit 'em hard, let 'em know who's who;

Bear Down, Arizona

Bear Down, Red and Blue

Go, go, Wildcats, go;

Arizona, Bear Down"
Arizona State,Maroon and Gold,Felix McKernan,1948,No,Yes,No,150,106,No,Yes,No,Yes,138TmlsqwA1J0pGeJBoGUS,"Fight, Devils Down The Field

Fight With Your Might and Don't Ever Yield

Long May Our Colors Outshine All Others

Echo From The Buttes, Give 'Em Hell Devils!

Cheer, Cheer For A-S-U

Fight For The Old Maroon

For it's Hail, Hail, The Gang's All Here

And It's Onward to Victory!"
Arkansas,Arkansas Fight,William Edwin Douglass,1913,Yes,Yes,No,77,88,No,No,No,Yes,20iLjYvQOdAO3lPYkfycGn,"Hit that line! Hit that line!

Keep on going!

Move that ball right down the field!

Give a cheer. Rah! Rah!

Never fear. Rah! Rah!

Arkansas will never yield!

On your toes, Razorbacks, to the finish,

Carry on with all your might!

For it's A-A-A-R-K-A-N-S-A-S

for Arkansas!

Fight! Fight! Fi-i-i-ight!"
Auburn,War Eagle,Robert Allen and Al Stillman,1955,No,Yes,No,77,27,No,Yes,No,No,1WSPADIiYIO5GfNTJ2vwnM,"War Eagle, fly down the field,

Ever to conquer, never to yield.

War Eagle, fearless and true.

Fight on you orange and blue.

Go! Go! Go!

On to vict'ry, strike up the band.

Give 'em hell, give 'em hell,

Stand up and yell, hey!

War Eagle, win for Auburn,

Power of Dixieland!"
Baylor,Old Fight,Dick Baker and Frank Boggs,1947,Yes,Yes,No,76,99,No,Yes,No,Yes,2ZsaI0Cu4nz8DHfBkPt0Dl,"Bear down you Bears of Old Baylor U We're all for you!

GO BEARS!

We're gonna show dear old Baylor spirit through and through!

GO BEARS!

Come on and fight them with all your might you bruins bold

And win all our victories for the Green and Gold!

B! A! Y! L! O! R! BAYLOR! BEARS! FIGHT!

Come on and fight them with all your might you bruins bold

And win all our victories for the Green and Gold!

B-A-Y-L-O-R BAYLOR BEARS FIGHT!"
Boston College,For Boston,T.J. Hurley,Unknown,No,Yes,No,147,84,No,No,No,No,4E8cLR6NcYCCJWqD2iwz7c,"For Boston, for Boston,

We sing our proud refrain!

For Boston, for Boston,

'Tis Wisdom's earthly fane.

For here all are one

And their hearts are true,

And the towers on the Heights

Reach to Heav'ns own blue.

For Boston, for Boston,

Till the echoes ring again!

For Boston, for Boston,

Thy glory is our own!

For Boston, for Boston,

'Tis here that Truth is known.

And ever with the Right

Shall thy heirs be found,

Till time shall be no more

And thy work is crown'd.

For Boston, for Boston,

For Thee and Thine alone."
California,Fight for California,Earl Elleson McCoy and Robert N. Fitch,1909,No,Yes,No,134,88,No,Yes,No,No,06Qz83gVtmHtWTClrucgjX,"Our sturdy Golden Bear,

Is watching from the skies,

Looks down upon our colors fair,

And guards us from his lair.

Our banner Gold and Blue,

The symbol on it too,

Means FIGHT! for California.

For California through and through!

Stalwarts girded for the fray,

Will strive for victory,

Their all at Mater's feet will lay,

That brain and brawn will win the day.

Our mighty sons and true

Will strive for us anew,

And FIGHT! for California,

For California through and through!"
Clemson,Tiger Rag,Original Dixieland Jass Band,1917,No,Yes,No,145,78,No,No,No,Yes,7hGtgN4N9ebZTlC7xhvKIE,"Long ago way down in the jungle

Someone got an inspiration for a tune

And that jingle came from the jungle

Became famous mighty soon

Thrills and chills it sends through you

Hot so hot it burns you too

Though it's just the growl of the Tiger

It was written in a syncopated way

More and more they yell for the Tiger

Everywhere you go today, they're shoutin:

Where's that Tiger?

Where's that Tiger?

Where's that Tiger?

Where's that Tiger?

Hold that Tiger!

Hold that Tiger!

Hold that Tiger!

C-L-E-M-S-O...N!"
Colorado,Fight CU,Richard Durnett,Unknown,Unknown,Yes,No,151,27,No,No,No,Yes,0Q3VKlBT4lugyLG5n9LKIz,"Fight CU down the field,

CU must win

Fight, fight for victory

CU knows no defeat

We'll roll up a mighty score

Never give in

Shoulder to shoulder

We will fight, fight

Fight, fight, fight!"
Duke,Fight Blue Devils,Joe Hewitt and Doug Ballin,1947,No,Yes,No,139,58,No,Yes,Yes,No,0fDiYvMTYWSSrIuHVJGMZj,"Fight, Fight Blue Devils

Fight for Duke and the Blue and White

March on through

For the touchdown's there for you

Go get 'em

Duke is out to win today

Carolina goodnight

So turn on the steam team

Fight Blue Devils Fight"
Florida,The Orange and Blue,George Hamilton and Thornton Whitney Allen,1925,No,Yes,No,71,66,No,Yes,No,No,15yyBZUfgNbft50mMB7a4V,"So give a cheer for the Orange and Blue

Waving Forever!

Forever pride of Old Florida,

May she droop never.

We'll sing a song for the flag today,

Cheer for the team at play!

On to the goal,

We'll fight our way for

Flor-i-da!

Go Gators!"
